単語・フレーズ,タグ,サブタグ
joint lock,重複,推測可能
joyful,重複,推測可能
JSDF,重複,レア
July,重複,推測可能
jump into ~,重複,推測可能
jump out of ~,重複,推測可能
June,重複,推測可能
junior,重複,推測可能
junior high school,重複,推測可能
just about,重複,推測可能
just about everywhere,重複,推測可能
just in case,重複,推測可能
just so you know,重複,推測可能
just then,重複,推測可能
keen,重複,推測可能
keep (A) waiting,重複,推測可能
keep away from ~,重複,推測可能
keep contact with ~,重複,推測可能
keep in mind,重複,推測可能
keep in touch with ~,重複,推測可能
keep on doing,重複,推測可能
keep to ~,重複,推測可能
keep up with ~,重複,推測可能
keep ~ from ...ing,重複,推測可能
keep ~ on hand,重複,推測可能
kin,重複,推測可能
kind-hearted,重複,推測可能
kindly,重複,推測可能
knob,重複,推測可能
knowledgeable,重複,推測可能
knowledgeable (about ~),重複,推測可能
lack,重複,推測可能
lacking,重複,推測可能
lane,重複,推測可能
largely,重複,推測可能
last night,重複,推測可能
last year,重複,推測可能
laugh at ~,重複,推測可能
lay,重複,推測可能
layer,重複,推測可能
laziness,重複,推測可能
LCC,重複,推測可能
leading,重複,推測可能
learn to ...,重複,推測可能
learn to do,重複,推測可能
learning,重複,推測可能
leather shoes,重複,推測可能
leave home,重複,推測可能
leave ~ (場所),重複,推測可能
left-click,重複,推測可能
leftover,重複,推測可能
leisurely,重複,推測可能
let alone ~,重複,推測可能
let me check ~,重複,
Let me know how it goes.,重複,
let ~ know,重複,推測可能
Let's make it ~,重複,
lie down,重複,推測可能
life-size,重複,推測可能
like this,重複,推測可能
like ~ the best,重複,推測可能
limitation,重複,推測可能
limited,重複,推測可能
line (up),重複,推測可能
live with (A),重複,推測可能
live with ~,重複,推測可能
living,重複,推測可能
living room,重複,推測可能
local time,重複,推測可能
logically,重複,推測可能
look after ~,重複,推測可能
look at ~,重複,推測可能
look back on ~,重複,推測可能
look for ~,重複,推測可能
look forward to ~,重複,推測可能
look in ~,重複,推測可能
look like ~,重複,推測可能
look out for ~,重複,推測可能
look out of ~,重複,推測可能
look up,重複,推測可能
look up to ~,重複,推測可能
look ~ up,重複,推測可能
loosen,重複,推測可能
lose one's temper,重複,
loud,重複,推測可能
love affair,重複,推測可能
lovely,重複,推測可能
low-cost,重複,推測可能
low-cost carrier,重複,推測可能
low-priced,重複,推測可能
lower,重複,推測可能
loyalty,重複,推測可能
luckily,重複,推測可能
lucky,重複,推測可能
lunar,重複,推測可能
lunatic,重複,推測可能
lunch special,重複,推測可能
luxurious,重複,推測可能
lyric,重複,推測可能
magnificence,重複,推測可能
mainly,重複,推測可能
maintenance,重複,推測可能
majority,重複,推測可能
make a commitment to ~,重複,推測可能
make a distinction,重複,推測可能
make a nasty remark,重複,推測可能
make a reservation,重複,推測可能
make an effort,重複,推測可能
make an exception,重複,推測可能
make certain that ...,重複,
make friends (with ~),重複,
make good progress,重複,推測可能
make it,重複,
make no exception(s),重複,推測可能
make sense,重複,推測可能
make sure ...,重複,推測可能
make tea,重複,推測可能
make the most of ~,重複,推測可能
make time for ~,重複,推測可能
make up (with ~),重複,
make up for ~,重複,
make up one's mind,重複,
make up ~,重複,
make use of ~,重複,推測可能
make ~ come true,重複,
make ~ for breakfast,重複,推測可能
make-up,重複,推測可能
manipulation,重複,推測可能
mankind,重複,推測可能
manufacturer,重複,推測可能
March,重複,推測可能
marginal,重複,推測可能
mark down ~,重複,推測可能
marked,重複,推測可能
markedly,重複,推測可能
marketing,重複,推測可能
married,重複,推測可能
mass-produce,重複,推測可能
massive,重複,推測可能
materialistic,重複,推測可能
mathematics,重複,推測可能
maturity,重複,推測可能
maximize,重複,推測可能
May I help you?,重複,推測可能
me time,重複,推測可能
mean to ...,重複,推測可能
meaningful,重複,推測可能
meaningless,重複,推測可能
measurement,重複,推測可能
measuring spoon,重複,
mechanical pencil,重複,レア
medical center,重複,推測可能
medium,重複,推測可能
members of the public,重複,推測可能
memo,重複,推測可能
memorial service,重複,推測可能
memorize,重複,推測可能
memory problem,重複,推測可能
menstrual cramps,重複,レア
mentally,重複,推測可能
merchant,重複,推測可能
mere,重複,推測可能
merely,重複,推測可能
messy,重複,推測可能
metropolitan,重複,推測可能
microwave oven,重複,推測可能
middle school,重複,推測可能
midnight,重複,推測可能
mild,重複,推測可能
milestone,重複,推測可能
milkshake,重複,推測可能
millennium,重複,推測可能
millions of ~,重複,
mime,重複,推測可能
-minded,重複,レア
minimize,重複,推測可能
minor,重複,推測可能
mistaken,重複,推測可能
mix A and B,重複,推測可能
mix A with B,重複,推測可能
mixing bowl,重複,推測可能
modernization,重複,推測可能
modernize,重複,推測可能
modification,重複,推測可能
molecular,重複,推測可能
Monday,重複,推測可能
monopolize,重複,推測可能
monthly,重複,推測可能
more and more ~,重複,推測可能
morning glory,重複,レア
mostly,重複,推測可能
motivate,重複,推測可能
movie star,重複,推測可能
movie theater,重複,推測可能
moving,重複,推測可能
multiple,重複,推測可能
multiplication,重複,推測可能
multiply A by B,重複,推測可能
multitude,重複,推測可能
murderer,重複,推測可能
musical,重複,推測可能
myth,重複,推測可能
nap,重複,推測可能
nausea,重複,推測可能
navy,重複,推測可能
neatly,重複,推測可能
necessarily,重複,推測可能
needy,重複,推測可能
newscaster,重複,推測可能
next time,重複,推測可能
next to ~,重複,推測可能
next year,重複,推測可能
Nice to meet you.,重複,推測可能
night,重複,推測可能
no later than ~,重複,
no longer,重複,
no longer ...,重複,
no matter what happens,重複,
No problem.,重複,推測可能
no way,重複,
"No, thank you.",重複,推測可能
non-reserved seat,重複,推測可能
nonfiction,重複,推測可能
northern,重複,推測可能
not ... ever again,重複,推測可能
not ... quite ~,重複,推測可能
not altogether,重複,推測可能
Not at all.,重複,
not feel good,重複,推測可能
not only ~ but (also) ...,重複,推測可能
not quite (as),重複,推測可能
not ~ always,重複,推測可能
not ~ anymore,重複,
notable,重複,推測可能
noticeable,重複,推測可能
nourish,重複,推測可能
November,重複,推測可能
nowadays,重複,推測可能
numerous,重複,推測可能
nursing home,重複,推測可能
nutrient,重複,推測可能
nutritionist,重複,推測可能
nutritious,重複,推測可能
oak,重複,推測可能
oarfish,重複,レア
oatmeal,重複,推測可能
objection (to ~),重複,
oblige,重複,推測可能
obscure,重複,推測可能
observance,重複,推測可能
observer,重複,推測可能
occasional,重複,推測可能
occasionally,重複,推測可能
October,重複,推測可能
odd number,重複,推測可能
of all ages,重複,
offender,重複,推測可能
offensive,重複,推測可能
office administrator,重複,推測可能
office supply,重複,推測可能
offline,重複,推測可能
"Oh, my gosh!",重複,
oil,重複,推測可能
okra,重複,推測可能
old-fashioned,重複,推測可能
old-style,重複,推測可能
Olympic,重複,推測可能
on (the) condition (that) ...,重複,推測可能
on a regular basis,重複,推測可能
on a school trip,重複,推測可能
on behalf of ~,重複,
on business,重複,推測可能
on earth,重複,推測可能
on February 14th,重複,推測可能
on my way to school,重複,
on one's day off,重複,
on one's own,重複,推測可能
on purpose,重複,推測可能
on sale,重複,推測可能
on schedule,重複,推測可能
on the (one's) way to ~,重複,
on the contrary,重複,
on the fence,重複,推測可能
on the go,重複,
on the increase,重複,推測可能
on time,重複,推測可能
on weekdays,重複,
on weekends,重複,
on YouTube,重複,
once upon a time,重複,推測可能
one day,重複,
one of ~,重複,
one summer evening,重複,推測可能
one's hometown,重複,推測可能
(one's) belongings,重複,
one-day,重複,推測可能
only a few,重複,推測可能
open a file,重複,推測可能
orange juice,重複,推測可能
orange osmanthus,重複,レア
order A from B,重複,推測可能
organized,重複,推測可能
orient,重複,推測可能
originally,重複,推測可能
out of breath,重複,推測可能
out of curiosity,重複,推測可能
out of order,重複,推測可能
out of the park,重複,推測可能
out of ~,重複,
outer space,重複,推測可能
over and over,重複,
over the past year,重複,推測可能
over there,重複,
over time,重複,推測可能
overall,重複,推測可能
overhear,重複,推測可能
overview,重複,推測可能
overwrite,重複,推測可能
owing to ~,重複,
own,重複,推測可能
p.m.,重複,レア
paint a picture,重複,推測可能
pale,重複,推測可能
panty stockings,重複,推測可能
paper,重複,推測可能
papers,重複,推測可能
participate in ~,重複,推測可能
particularly,重複,推測可能
partly,重複,推測可能
pass away,重複,推測可能
patiently,重複,推測可能
pave,重複,推測可能
pay attention to ~,重複,推測可能
pay in cash,重複,推測可能
payment,重複,推測可能
PE.,重複,
peach (blossoms),重複,推測可能
peculiar,重複,推測可能
penetrating,重複,推測可能
pensioner,重複,推測可能
people skills,重複,推測可能
pepper mill,重複,推測可能
per person,重複,推測可能
perceptive,重複,推測可能
performance,重複,推測可能
performer,重複,推測可能
permanently,重複,推測可能
person in charge,重複,推測可能
personal computer (PC),重複,推測可能
personality,重複,推測可能
personally,重複,推測可能
phenomena,重複,推測可能
photographer,重複,推測可能
photography,重複,推測可能
physician,重複,推測可能
pick up ~,重複,推測可能
pick ~ up,重複,推測可能
pick ~ up / pick up ~,重複,推測可能
pill bug,重複,推測可能
plainly,重複,推測可能
plan ahead,重複,推測可能
plantation,重複,推測可能
Please be aware that ...,重複,推測可能
pleased,重複,推測可能
pleasing,重複,推測可能
plenty of ~,重複,
polar,重複,推測可能
police car,重複,推測可能
police officer,重複,推測可能
police station,重複,推測可能
politely,重複,推測可能
pose a question,重複,推測可能
possibly,重複,推測可能
Post-it,重複,推測可能
practically,重複,推測可能
prefer ~ to ...,重複,推測可能
preferable,重複,推測可能
prepared,重複,推測可能
prescription medicine,重複,推測可能
presence,重複,推測可能
preservation,重複,推測可能
press conference,重複,推測可能
pressure (on ~),重複,推測可能
pretty good,重複,推測可能
prevail,重複,推測可能
prevent ~ from ...ing,重複,推測可能
previous,重複,推測可能
prey,重複,推測可能
priceless,重複,推測可能
primarily,重複,推測可能
prior to ~,重複,推測可能
probability,重複,推測可能
probable,重複,推測可能
probe,重複,推測可能
productive,重複,推測可能
profoundly,重複,推測可能
prohibited item,重複,推測可能
promising,重複,推測可能
promotion,重複,推測可能
properly,重複,推測可能
prosperous,重複,推測可能
provided,重複,推測可能
provision,重複,推測可能
psychologically,重複,推測可能
publication,重複,推測可能
publicity,重複,推測可能
publisher,重複,推測可能
publishing,重複,推測可能
purely,重複,推測可能
put a smile on one's face,重複,推測可能
put down ~,重複,
put in ~,重複,
put off ~,重複,
put on ~,重複,
put up with ~,重複,
put ~ away,重複,推測可能
put ~ in the mail,重複,推測可能
put ~ into practice,重複,推測可能
put ~ off,重複,
put ~ on,重複,
put ~ to good use,重複,推測可能
put ~ together,重複,推測可能
puzzling,重複,推測可能
quickly,重複,推測可能
quite a few,重複,推測可能
rain check,重複,推測可能
rainy,重複,推測可能
random,重複,推測可能
rapidly,重複,推測可能
rarely,重複,推測可能
rational,重複,推測可能
raw,重複,推測可能
ray,重複,推測可能
reach out for ~,重複,推測可能
read up on ~,重複,推測可能
readily,重複,推測可能
reading,重複,推測可能
real-life,重複,推測可能
reasonably,重複,推測可能
reboot,重複,推測可能
record-holder,重複,推測可能
recycling center,重複,推測可能
red bean,重複,推測可能
red meat,重複,推測可能
red snapper,重複,推測可能
refer to ~ as ...,重複,推測可能
reflection,重複,推測可能
refrain from ...ing,重複,
refreshment,重複,推測可能
regarding,重複,推測可能
regional,重複,推測可能
registration,重複,推測可能
regularly,重複,推測可能
rejection,重複,推測可能
relatively,重複,推測可能
relaxation,重複,推測可能
relaxed,重複,推測可能
relaxing,重複,推測可能
release A from B,重複,推測可能
reliability,重複,推測可能
reluctantly,重複,推測可能
rely on (upon) ~,重複,推測可能
remainder,重複,推測可能
remains,重複,推測可能
remarkably,重複,推測可能
remind oneself,重複,推測可能
remind ~ of ...,重複,推測可能
remote working,重複,推測可能
rental,重複,推測可能
replace ~ with ...,重複,推測可能
replacement,重複,推測可能
reportedly,重複,推測可能
representation,重複,推測可能
representative,重複,推測可能
reserved seat,重複,推測可能
resignation,重複,推測可能
resourceful,重複,推測可能
respectable,重複,推測可能
respectful,重複,推測可能
respectively,重複,推測可能
restoration,重複,推測可能
resumption,重複,推測可能
retail,重複,推測可能
retention,重複,推測可能
retired,重複,推測可能
retirement account,重複,推測可能
reuse,重複,推測可能
revealing,重複,推測可能
revolution,重複,推測可能
rewarding,重複,推測可能
rewrite,重複,推測可能
rice cooker,重複,推測可能
right away,重複,推測可能
right now,重複,推測可能
right-click,重複,推測可能
right-handed,重複,推測可能
rigid,重複,推測可能
rise,重複,推測可能
rob,重複,推測可能
robber,重複,推測可能
robbery,重複,推測可能
rock music,重複,推測可能
roll out ~,重複,推測可能
roll ~ into ...,重複,推測可能
rolling pin,重複,推測可能
roly-poly,重複,レア
ropeway,重複,レア
roughly,重複,推測可能
row,重複,推測可能
royalty,重複,推測可能
rub,重複,推測可能
rubber,重複,推測可能
run back to ~,重複,推測可能
run into ~,重複,推測可能
run out of ~,重複,推測可能
running,重複,推測可能
runway,重複,推測可能
sadly,重複,推測可能
safely,重複,推測可能
safety,重複,推測可能
sales,重複,推測可能
salesperson,重複,推測可能
salmon roe,重複,レア
sane,重複,推測可能
satellite imagery,重複,推測可能
satisfactory,重複,推測可能
satisfying,重複,推測可能
Saturday,重複,推測可能
saucer,重複,推測可能
saving,重複,推測可能
saying,重複,推測可能
scarab beetle,重複,レア
scared,重複,推測可能
scheme,重複,推測可能
scholarship,重複,推測可能
scientific,重複,推測可能
scold,重複,推測可能
scope,重複,推測可能
scrape,重複,推測可能
screw,重複,推測可能
script,重複,推測可能
scroll,重複,推測可能
seaside,重複,推測可能
seasonal,重複,推測可能
seasoning,重複,推測可能
second-hand,重複,推測可能
secondhand,重複,推測可能
security guard,重複,推測可能
see each other,重複,推測可能
see if SV,重複,推測可能
seedless,重複,推測可能
seedy,重複,推測可能
seem to ...,重複,推測可能
seemingly,重複,推測可能
seldom,重複,推測可能
selection,重複,推測可能
send,重複,推測可能
senior citizen,重複,推測可能
sense of beauty,重複,推測可能
sensory,重複,推測可能
September,重複,推測可能
serve as ~,重複,推測可能
server,重複,推測可能
severely,重複,推測可能
shameful,重複,推測可能
shed,重複,推測可能
sheer,重複,推測可能
short-neck clam,重複,推測可能
short-sleeved shirt,重複,推測可能
shortly,重複,推測可能
shoulder bag,重複,推測可能
show up,重複,推測可能
show ~ around,重複,推測可能
shyness,重複,推測可能
sickness,重複,推測可能
sign language,重複,推測可能
sign up,重複,推測可能
significantly,重複,推測可能
simply,重複,推測可能
single,重複,推測可能
skateboarding,重複,推測可能
skiing,重複,推測可能
skilled,重複,推測可能
skillfully,重複,推測可能
skip,重複,推測可能
skyrocket,重複,推測可能
slash,重複,推測可能
slavery,重複,推測可能
sleeper train,重複,推測可能
sleeping bag,重複,推測可能
sleepy,重複,推測可能
sleeveless shirt,重複,推測可能
sliced,重複,推測可能
slope,重複,推測可能
slowly,重複,推測可能
sluggish,重複,推測可能
smelly,重複,推測可能
sneak,重複,推測可能
snowboarding,重複,推測可能
snowy,重複,推測可能
so far,重複,推測可能
soak,重複,推測可能
social studies,重複,推測可能
socks,重複,推測可能
sofa,重複,推測可能
solar,重複,推測可能
someday,重複,推測可能
somehow,重複,推測可能
sometime,重複,推測可能
sooner or later,重複,
soothe,重複,推測可能
sophomore,重複,推測可能
sorely,重複,推測可能
sorrowful,重複,推測可能
sorry,重複,推測可能
sort through ~,重複,推測可能
sound like ~,重複,推測可能
Sounds great!,重複,推測可能
south,重複,推測可能
soy sauce,重複,
soybean,重複,推測可能
spaceship,重複,推測可能
speaking of ~,重複,
special offer,重複,推測可能
specifically,重複,推測可能
spectator,重複,推測可能
spill,重複,推測可能
spiritual,重複,推測可能
split,重複,推測可能
spoil,重複,推測可能
sponge,重複,推測可能
spoonful,重複,推測可能
sprain,重複,推測可能
spring,重複,推測可能
squash,重複,推測可能
squeeze,重複,推測可能
squid,重複,推測可能
squirrel,重複,推測可能
stag beetle,重複,レア
stalk,重複,推測可能
stand out,重複,推測可能
stand up,重複,推測可能
starch,重複,推測可能
stare,重複,推測可能
starfish,重複,推測可能
start ...ing,重複,推測可能
start an application,重複,推測可能
start off with ~,重複,推測可能
start small,重複,推測可能
statesman,重複,推測可能
statistics,重複,推測可能
stay active,重複,推測可能
stay away (from ~),重複,推測可能
stay healthy,重複,推測可能
stay home,重複,推測可能
stay in bed,重複,推測可能
stay in shape,重複,推測可能
stay up,重複,推測可能
stay with (A),重複,推測可能
stay with ~,重複,推測可能
steadily,重複,推測可能
step by step,重複,推測可能
stick to ~,重複,推測可能
stiff shoulder,重複,推測可能
stimulant,重複,推測可能
stimulating,重複,推測可能
stimulation,重複,推測可能
stink bug,重複,推測可能
stir,重複,推測可能
stir-fry,重複,推測可能
stockings,重複,推測可能
stop at ~,重複,推測可能
stop by ~,重複,推測可能
stop doing,重複,推測可能
storage,重複,推測可能
storeroom,重複,推測可能
storyline,重複,推測可能
storyteller,重複,推測可能
strategic,重複,推測可能
streaming,重複,推測可能
strengthen,重複,推測可能
stressed,重複,推測可能
stressful,重複,推測可能
strictly,重複,推測可能
strive,重複,推測可能
studying,重複,推測可能
stuffed,重複,推測可能
stupid,重複,推測可能
subjective,重複,推測可能
subscribe,重複,推測可能
substantial,重複,推測可能
substantially,重複,推測可能
subtropical,重複,推測可能
successfully,重複,推測可能
sudden,重複,推測可能
suffer from ~,重複,推測可能
suffering,重複,推測可能
suitable (for ~),重複,推測可能
summarize,重複,推測可能
sun protection,重複,推測可能
sun-damaged,重複,推測可能
Sunday,重複,推測可能
sunrise,重複,推測可能
sunscreen,重複,推測可能
sunset,重複,推測可能
sunshine,重複,推測可能
superior,重複,推測可能
supper,重複,推測可能
supporter,重複,推測可能
supportive,重複,推測可能
surgical,重複,推測可能
surprised,重複,推測可能
surprisingly,重複,推測可能
surrounding,重複,推測可能
surroundings,重複,推測可能
sustain,重複,推測可能
swallow,重複,推測可能
sweat,重複,推測可能
sweatshirt,重複,推測可能
sweep,重複,推測可能
sweet sake,重複,レア
sweet tooth,重複,推測可能
swimming pool,重複,推測可能
swimsuit,重複,推測可能
swing,重複,推測可能
systematic,重複,推測可能
take a bath,重複,推測可能
take a break,重複,推測可能
take a look,重複,推測可能
take a look (at ~),重複,推測可能
take a picture (of ~),重複,推測可能
take a test,重複,推測可能
take A to B,重複,
take action,重複,推測可能
take advantage of ~,重複,推測可能
take away ~,重複,推測可能
take care of ~,重複,推測可能
Take care.,重複,推測可能
take down ~,重複,
take in ~,重複,
take it easy,重複,
take it slow,重複,
take off,重複,
take one's temperature,重複,
take over ~,重複,
take part in ~,重複,推測可能
take the place of ~ / take one's place,重複,
take the train (to ~),重複,推測可能
take time to ...,重複,推測可能
take up ~,重複,
take ~ apart,重複,
take ~ around,重複,
take ~ for granted,重複,
take ~ off,重複,
talented,重複,推測可能
talkative,重複,推測可能
tank top,重複,推測可能
tasty,重複,推測可能
tax-free,重複,推測可能
teach,重複,推測可能
teacher,重複,推測可能
team-building,重複,推測可能
tear,重複,推測可能
technological,重複,推測可能
teenage,重複,推測可能
tempting,重複,推測可能
tend to ...,重複,推測可能
tendency (to do),重複,推測可能
terribly,重複,推測可能
territorial,重複,推測可能
terrorism,重複,推測可能
text message,重複,推測可能
thankful,重複,推測可能
thanks for ~,重複,推測可能
thanks to ~,重複,推測可能
That makes sense.,重複,
that place,重複,推測可能
That would be great.,重複,
That's a good deal.,重複,推測可能
That's all for ~,重複,
That's fine with me.,重複,
the Buddhist faith,重複,レア
the countryside,重複,推測可能
the day after tomorrow,重複,
the equator,重複,レア
the era name,重複,レア
the flu,重複,推測可能
the following day,重複,推測可能
the last time ...,重複,推測可能
the middle class,重複,推測可能
the odds,重複,
the other day,重複,推測可能
the other way around,重複,
the same,重複,推測可能
the Statue of Liberty,重複,レア
the upper class,重複,推測可能
there can be no doubt that ...,重複,
there is a good chance (that) ...,重複,推測可能
things to write with,重複,推測可能
think (that) SV,重複,推測可能
think about ~,重複,推測可能
think of ~ as ...,重複,推測可能
think over ~ (think ~ over),重複,推測可能
thinner,重複,推測可能
throughout,重複,推測可能
throughout one's life,重複,推測可能
throughout the year,重複,推測可能
throw up,重複,推測可能
throw ~ away,重複,推測可能
thumbtack,重複,レア
thunderstorm,重複,推測可能
Thursday,重複,推測可能
ticket counter,重複,
tide,重複,推測可能
tie-breaking,重複,推測可能
tighten,重複,推測可能
time away,重複,推測可能
Time flies.,重複,推測可能
timetable,重複,推測可能
tired,重複,推測可能
to be honest,重複,推測可能
to name a few,重複,推測可能
to one's best knowledge,重複,推測可能
tolerable,重複,推測可能
tolerant,重複,推測可能
toll,重複,推測可能
tonight,重複,推測可能
toothache,重複,推測可能
toothbrush,重複,推測可能
toothpaste,重複,推測可能
toothpick,重複,推測可能
toss ~ down,重複,推測可能
totally,重複,推測可能
tourism,重複,推測可能
toxic,重複,推測可能
trace,重複,推測可能
track and field,重複,推測可能
traditionally,重複,推測可能
traffic jam,重複,推測可能
trailer,重複,推測可能
trainer,重複,推測可能
training,重複,推測可能
transfer,重複,推測可能
transformation,重複,推測可能
translation,重複,推測可能
translator,重複,推測可能
transmit,重複,推測可能
travel(ing),重複,推測可能
treasurer,重複,推測可能
tremendously,重複,推測可能
trendy,重複,推測可能
triangle,重複,推測可能
triathlon,重複,レア
tribe,重複,推測可能
triumph,重複,推測可能
trousers,重複,推測可能
true to life,重複,推測可能
truly,重複,推測可能
trumpet,重複,推測可能
trunks,重複,推測可能
trustworthy,重複,推測可能
try one's best,重複,推測可能
try ~ on (try on ~),重複,推測可能
Tuesday,重複,推測可能
tune,重複,推測可能
turban shell,重複,レア
turn off ~ (turn ~ off),重複,推測可能
turn on silent mode,重複,
turn out ~,重複,推測可能
turn ~ around,重複,推測可能
turn ~ on,重複,推測可能
turn ~ over,重複,推測可能
turnip,重複,推測可能
twist one's ~ (ankle; wrist),重複,推測可能
typically,重複,推測可能
ultimately,重複,推測可能
unaware,重複,推測可能
unbelievable,重複,推測可能
uncountable,重複,推測可能
uncover,重複,推測可能
unfamiliar,重複,推測可能
unfold,重複,推測可能
unforgettable,重複,推測可能
unfortunately,重複,推測可能
uniform,重複,推測可能
unimportant,重複,推測可能
unique to ~,重複,推測可能
uniquely,重複,推測可能
uniqueness,重複,推測可能
united,重複,推測可能
universal,重複,推測可能
unkind,重複,推測可能
unlikely,重複,推測可能
unnatural,重複,推測可能
unnecessary,重複,推測可能
unpleasant,重複,推測可能
up and down,重複,
up for ~,重複,
up there,重複,
up to ~,重複,
up-to-date,重複,推測可能
upsetting,重複,推測可能
upstairs,重複,推測可能
useless,重複,推測可能
usually,重複,推測可能
utilize,重複,推測可能
utter,重複,推測可能
vacuum cleaner,重複,
vague,重複,推測可能
vain,重複,推測可能
valid,重複,推測可能
van,重複,推測可能
vanish,重複,推測可能
variation,重複,推測可能
verbally,重複,推測可能
version,重複,推測可能
vertical,重複,推測可能
vice,重複,推測可能
video,重複,推測可能
vigorously,重複,推測可能
virtually,重複,推測可能
visually,重複,推測可能
vitality,重複,推測可能
vitalize,重複,推測可能
vividly,重複,推測可能
voluntary,重複,推測可能
vulnerability,重複,推測可能
wake up,重複,推測可能
wake-up call,重複,
walking,重複,推測可能
walking shoes,重複,推測可能
walrus,重複,推測可能
wander,重複,推測可能
warn that ...,重複,推測可能
washing machine,重複,推測可能
wasteful,重複,推測可能
watch one's step,重複,推測可能
weaken,重複,推測可能
weakness,重複,推測可能
wealthy,重複,推測可能
weave,重複,推測可能
weekend crowd,重複,推測可能
weekly,重複,推測可能
weigh in,重複,推測可能
weigh oneself,重複,推測可能
Welcome aboard.,重複,推測可能
welcome to ~,重複,推測可能
well done,重複,推測可能
well-being,重複,推測可能
well-known,重複,推測可能
west,重複,推測可能
What a surprise!,重複,推測可能
What about you?,重複,
What else?,重複,推測可能
what is called ...,重複,
What's all this?,重複,
What's new with you?,重複,
What's new?,重複,推測可能
What's up?,重複,
What's wrong?,重複,
What's your take on it?,重複,
whip,重複,推測可能
whistle,重複,推測可能
white rice,重複,推測可能
whiteout,重複,推測可能
wholesale,重複,推測可能
widely,重複,推測可能
Will do.,重複,
Will you do me a favor?,重複,
willingly,重複,推測可能
willingness (to do),重複,
win,重複,推測可能
windy,重複,推測可能
wipe,重複,推測可能
wiper,重複,推測可能
wire,重複,推測可能
with a sense of ~,重複,推測可能
with no concerns,重複,
withdrawal,重複,推測可能
within,重複,推測可能
wooden,重複,推測可能
work at (場所),重複,推測可能
work for ~,重複,推測可能
work on ~,重複,推測可能
work out ~,重複,推測可能
work overtime,重複,推測可能
work something out,重複,推測可能
workday,重複,推測可能
workload,重複,推測可能
world affairs,重複,推測可能
world history,重複,推測可能
world-renowned,重複,推測可能
worried,重複,推測可能
wrestler,重複,推測可能
yeah,重複,推測可能
year after year,重複,推測可能
yell,重複,推測可能
You are something else.,重複,推測可能
you know,重複,推測可能
You mean ...?,重複,推測可能
you'll see,重複,推測可能
young yellowtail,重複,推測可能
younger,重複,推測可能
"Yours truly,",重複,推測可能
(比率) percent,重複,
anybody,代名詞,
anything,代名詞,
anywhere,代名詞,
each other,代名詞,
everybody,代名詞,
everyone,代名詞,
everything,代名詞,
everywhere,代名詞,
no one,代名詞,
nobody,代名詞,
one another,代名詞,
somebody,代名詞,
someone,代名詞,
something,代名詞,
a few,文法,
a little,文法,
a lot,文法,
about,文法,
above,文法,
across,文法,
again,文法,
against,文法,
ago,文法,
air,文法,
all right,文法,
allow,文法,
along,文法,
already,文法,
also,文法,
although,文法,
although SV,文法,
always,文法,
and so on,文法,
another,文法,
answer,文法,
anyway,文法,
as S can,文法,
as soon as ~,文法,
as well,文法,
at first,文法,
at last,文法,
at least,文法,
at most,文法,
at once,文法,
away,文法,
be able to do,文法,
be going to do,文法,
be supposed to ...,文法,
be unable to do,文法,
because,文法,
because of ~,文法,
before,文法,
between A and B,文法,
both A and B,文法,
could,文法,
each,文法,
either,文法,
either A or B,文法,
else,文法,
even,文法,
even if ...,文法,
ever,文法,
every,文法,
except,文法,
first of all,文法,
had better ...,文法,
have got to ...,文法,
have to do,文法,
here,文法,
how much,文法,
however,文法,
in addition,文法,
in fact,文法,
in order to ...,文法,
in spite of ~,文法,
in that ...,文法,
in the end,文法,
in time,文法,
including,文法,
indeed,文法,
just,文法,
kind of,文法,
least,文法,
less,文法,
lot,文法,
many,文法,
more,文法,
moreover,文法,
most,文法,
most of all,文法,
much,文法,
never,文法,
not at all,文法,
now,文法,
often,文法,
on the other hand,文法,
one,文法,
only,文法,
or so,文法,
other,文法,
others,文法,
otherwise,文法,
over,文法,
per,文法,
several,文法,
since,文法,
sometimes,文法,
soon,文法,
such,文法,
such as ~,文法,
then,文法,
therefore,文法,
these days,文法,
thus,文法,
today,文法,
together,文法,
tomorrow,文法,
toward,文法,
unless,文法,
used to,文法,
very,文法,
via,文法,
well,文法,
whenever,文法,
whereas,文法,
whether,文法,
would rather ... than ~,文法,
would rather not ...,文法,
yesterday,文法,
Wednesday,,
abalone,,
abandon,,
abandoned,,
ability,,
able,,
abolish,,
abolishment,,
abound,,
abroad,,
absence,,
absolute,,
absolutely,,
abstract,,
abundant,,
abuse,,
accept,,
acceptable,,
acceptance,,
access,,
accessory,,
accident,,
accidental,,
accidentally,,
accommodation,,
accompany,,
accomplish,,
account,,
accounting,,
accumulate,,
accumulation,,
accuracy,,
accurate,,
accurately,,
accuse,,
ache,,
achieve,,
achievement,,
acknowledge,,
acquire,,
acquisition,,
across from ~,,
act,,
act as ~,,
action,,
activate,,
active,,
activity,,
actual,,
actually,,
ad,,
adapt,,
add,,
addicted,,
addition,,
additional,,
additionally,,
address,,
adequate,,
adjust,,
adjustment,,
administer,,
administration,,
administrative,,
admiration,,
admire,,
admission,,
admit,,
adolescent,,
adopt,,
adoption,,
adult,,
advance,,
advanced,,
advantage,,
adventure,,
adventurous,,
advertise,,
advertisement,,
advertising,,
advice,,
advise,,
advise (A) to do,,
affair,,
affect,,
affection,,
afford,,
affordable,,
afraid,,
